Mensagem,Tópico,Subtópico,Data,Remetente
Bem vindo Caio,Outros,,2024-10-09 08:21:00,Luiz Peixoto
Se apresenta aí pro grupo. Pra gente te dar as boas vindas,Outros,,2024-10-09 08:22:00,Luiz Peixoto
Sou advogado e moro em Bauru SP,Outros,,2024-10-09 08:28:00,Caio Simon
"Bem-vindo, Caio.",Outros,,2024-10-09 08:34:00,Renan Aguiar
Seja bem-vindo!!!,Outros,,2024-10-09 08:36:00,Roberta Afilhada
"Obg. Bom dia. Meu nome é vallerie maia. Conforme conversava com luiz Peixoto ontem, o PNe é um projeto/pratica conceitual que ja venho adotando antes da pandemia e pretendo aperfeiçoar/automatizar com o uso da IA. Espero contribuir com os demais compartilhando experiências com uso da IA no fluxo de trabalho para gerarmos valor mútuo neste grupo.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-10-09 08:50:00,PNe 1vc_pnz
Tenho usado o obsidian mais API do smart connection como segundo cérebro (digital juridico) para construir uma base de conhecimento que possa ser potencializada com a IA (=superagentes de IA).,Ferramentas e Plataformas,Obsidian,2024-10-09 08:53:00,PNe 1vc_pnz
"Olá Vallerie, seja bem vinda.",Outros,,2024-10-09 08:57:00,Luiz Peixoto
Salve Caio de Bauru!,Outros,,2024-10-09 08:57:00,Luiz Peixoto
"Sim, Vallerie, ",Outros,,2024-10-09 09:06:00,Luiz Peixoto
Mas a ideia é um passo depois disso:,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-09 09:14:00,Luiz Peixoto
E pra que serve essa medida?  É uma medida que pode nos fornecer a capacidade de processamento.,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura,2024-10-09 09:15:00,Luiz Peixoto
"Podemos medir o que o grupo faz, sem e com AI.  Ao mesmo tempo que podemos avaliar o avanço e aumento da produtividade.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-10-09 09:15:00,Luiz Peixoto
"O maior escritório do Brasil, estima-se em 8000 advogados, ou 8kPG.  Que tal se pudessemos montar uma estrutura que correspondesse a sua capacidade de trabalho e produção não com 8k pessoas?  Pegaram a ideia?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-09 09:16:00,Luiz Peixoto
https://share.note.sx/jitral2u,Outros,,2024-10-09 09:25:00,Luiz Peixoto
👏,Outros,,2024-10-09 10:28:00,PNe 1vc_pnz
Bora atualizar isso para incluir a tua parte de contribuição @558182243530 .  Vamos começar a pensar em como vamos capacitar o nosso pessoal.,Outros,,2024-10-09 10:33:00,Luiz Peixoto
https://www.instagram.com/reel/DAHbD8igkLH/?igsh=bHFrcGxlNnd0MHkx,Outros,,2024-10-09 12:58:00,Luiz Peixoto
Bem vindo Leo,Outros,,2024-10-10 13:41:00,Luiz Peixoto
‎IMG-20241010-WA0031.jpg (arquivo anexado),Outros,,2024-10-10 13:44:00,Luiz Peixoto
‎IMG-20240930-WA0121.jpg (arquivo anexado),Outros,,2024-10-10 14:28:00,Luiz Peixoto
https://www.conjur.com.br/2024-out-10/nos-antecipamos-as-necessidades-dos-advogados-diz-magistrado-que-zerou-acervo-com-ia/,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-11 12:51:00,Luiz Peixoto
https://youtu.be/wPEyyigh10g?si=m8YFwy6h41QmgJOa,Outros,,2024-10-11 12:53:00,Luiz Peixoto
https://youtu.be/UbDyjIIGaxQ?si=Hj1fDJnsR5WTCfWh,Outros,,2024-10-11 13:05:00,Luiz Peixoto
"Bom dia, pessoal",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-14 11:59:00,Viny Campos
"Bom dia Viny, seja bem vindo.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-14 12:00:00,Luiz Peixoto
"Fechado, Luiz",Outros,,2024-10-14 12:00:00,Viny Campos
Temos feito sempre uma rodada de apresentação inicial em que quem está chegando nos dá um pouco de informações a seu repeito para o grupo ver como pode auxiliar em seus projetos e se reorganizar com o que já estava em andamento.  Fique a vonatde.,Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais,2024-10-14 12:01:00,Luiz Peixoto
"Me chamo Vinyel Victor, sou advogado, concurseiro também de carreira, então muitas coisas da inteligência artificial também utilizo em outros projetos, não apenas ligados à advocacia. Meu romance com IA aplicada ao Direito começou recente, quando descobri que na minha seccional não tinha Comissão de IA, então decidi criar uma e ser o presidente para tomar a frente do tema, e desde então não parei mais. Estudo métodos, ferramentas, formas de integrar mais e mais a IA a minha realidade para que as pessoas saibam do real potencial da IA. Coisa que poucos sabem. Também estudo a IA como forma de potencializar projetos pessoais, como até mesmo a criação de uma start-up.",Ferramentas e Plataformas,Geral,2024-10-14 12:06:00,Viny Campos
"Que interessante.  Isso expende muito nossos horizontes.  Por hora vislumbro algumas áreas em que podemos nos organizar.  Temos um pessoal que auxilia com as plataformas digitais de reuniões online, produtores de conteúdo, gente ligada a projetos de formação acadêmica e escritórios de prática jurídica, há quem cogite de ampliarmos algo para escritórios e atendimento às seccionais - talvez um projeto. Alguns contatos acenam também para aplicações quotidianas como verificação de precedentes. Outros mais avançados tratam de questõe relativas à autocomposição, jurismetria e predição de tendências, chats e automação do processos.",Ferramentas e Plataformas,Geral,2024-10-14 12:14:00,Luiz Peixoto
Todos os temas são interessantes,Outros,,2024-10-14 12:16:00,Viny Campos
"Sim, estou trabanhdo agora no framework para github e o material que vamos usar, depois poderemos expandir para contratos eletrônicos e ethereum",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais,2024-10-14 15:11:00,Luiz Peixoto
<Video note omitted>,Outros,,2024-10-14 15:45:00,Luiz Peixoto
Tenho um agente que auxilia na revisão de conteúdo de concurso e simulação de novas questões,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-14 16:27:00,PNe 1vc_pnz
Estou aceitando qualquer mecanismo que auxilie na preparação,Outros,,2024-10-14 16:28:00,Viny Campos
Vou anotar aqui,Outros,,2024-10-14 18:46:00,Luiz Peixoto
"Núcleo, ",Outros,,2024-10-14 19:34:00,Luiz Peixoto
Olá!,Outros,,2024-10-14 19:41:00,Luiz Peixoto
Estou cuidando agora de pensar na melhor configuração para o github e como treiniar o pessoal com as ferramentas que vamos utilizar no trabalho.,Ferramentas e Plataformas,Geral,2024-10-14 19:44:00,Luiz Peixoto
Irei ler depois!  Boa noite !,Outros,,2024-10-14 20:00:00,Paulo Carlos Adv
https://youtu.be/CMqfrhMQj_I?si=l8T5_crZzpj3Er2k,Outros,,2024-10-14 21:10:00,Luiz Peixoto
Seja bem vinda Dr Angélica!,Outros,,2024-10-16 13:54:00,Paulo Carlos Adv
"Bem vida,",Outros,,2024-10-16 14:17:00,Luiz Peixoto
"Boa tarde, amigos causídicos!",Outros,,2024-10-20 15:50:00,Paulo Carlos Adv
"Logo vou disponibilizar o repositório do GitHub com alguns prompts. O trabalho está no ritmo que consigo impor aqui com os afazeres do escritório, mas logo já devemos ter algum material para treinamento",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-22 09:20:00,Luiz Peixoto
Ok!,Outros,,2024-10-22 09:22:00,Paulo Carlos Adv
https://youtu.be/Y3Xj9WwvaLw?si=I0DtXC9jthnUtlRp,Outros,,2024-11-19 10:25:00,Luiz Peixoto
"Pessoal, já temos uma api gratuita para interagir com agentes a partir do whatsapp",Ferramentas e Plataformas,Código e Bibliotecas,2024-11-19 10:26:00,Luiz Peixoto
https://www.youtube.com/live/S62Zh47clf4?si=QMJagNUbJyLG9EN3,Outros,,2024-11-19 10:26:00,Luiz Peixoto
Aproveitando o ensejo,Outros,,2024-11-19 11:31:00,Viny Campos
"Vou encabeçar um projeto em nível de subseção e um a nível estadual dentro da OAB MT ligada a IA e novas tecnologias para o Direito. Eleições ocorreram ontem. Dito isso, vou pegar ideias de como implementar isso, já com a ideia dos diálogos trocados atualmente, então conforme for sendo tratado em pauta, seria interessante a colaboração dos demais membros neste sentido",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-19 11:35:00,Viny Campos
Parabéns pela vitória. Conte com meu apoio.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-21 21:54:00,Luiz Peixoto
https://chat.deepseek.com,Ferramentas e Plataformas,LLMs e Modelos,2024-11-27 16:04:00,Luiz Peixoto
Qual modelo utiliza?,Outros,,2024-11-27 16:07:00,Viny Campos
deepseek,Ferramentas e Plataformas,LLMs e Modelos,2024-11-27 17:21:00,Luiz Peixoto
https://www.deepseek.com,Ferramentas e Plataformas,LLMs e Modelos,2024-11-27 17:21:00,Luiz Peixoto
A documentação está ai,Outros,,2024-11-27 17:22:00,Luiz Peixoto
‎IMG-20241127-WA0018.jpg (arquivo anexado),Outros,,2024-11-27 17:49:00,Luiz Peixoto
Achei q é usava alguma api existente,Ferramentas e Plataformas,Código e Bibliotecas,2024-11-27 22:41:00,Viny Campos
E aquela vercel ia playground?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-27 22:41:00,Viny Campos
A api é do deepseek mesmo.,Ferramentas e Plataformas,LLMs e Modelos,2024-11-27 22:42:00,Luiz Peixoto
E a outra?,Outros,,2024-11-27 22:43:00,Viny Campos
Que outra?,Outros,,2024-11-27 22:43:00,Luiz Peixoto
.,Outros,,2024-11-27 22:44:00,Viny Campos
Vercel ia playground,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-27 22:44:00,Viny Campos
https://www.perplexity.ai/search/traga-informacoes-completas-so-bAf62fYoR3qdlnNfWGZLbg,Ferramentas e Plataformas,LLMs e Modelos,2024-11-27 22:52:00,Luiz Peixoto
quando ao vercel sdk já ouvi falar mas nunca testei. Me parece um hub para criação de integrações e desenvolvimento em js,Ferramentas e Plataformas,Código e Bibliotecas,2024-11-27 22:54:00,Luiz Peixoto
"A questão em que sempre acabamos batendo é nos custos.  Para manter a segurança precisamos usar modelos opensource, mas precisamos de processamento para manter a segurança.  Caso contrário acabamos pagando altos preços dos modelos proprietários e entregando todo o ouro para as corporações.  Imagine todos os processos do escritório sendo acessados pela open ai?   Veja o projeto que fizeram ->  https://www.pjeia.com.br",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-11-27 23:00:00,Luiz Peixoto
"A forma de mitigar esses riscos é utilizar os modelos abertos e apostar em um sistema de baixo custo.  Enfim, discussão bem longa...",Código Aberto e Custo,Open Source e Transparência,2024-11-27 23:02:00,Luiz Peixoto
https://youtu.be/CK0oj9Ktfec?si=mWq3aMpaFg9oKy1-,Outros,,2024-11-29 00:35:00,Luiz Peixoto
agora que vi que a plataforma indicada cobra pelos serviços. De minha parte não há endosso para inscrições.,Ferramentas e Plataformas,Geral,2024-11-29 00:36:00,Luiz Peixoto
https://youtu.be/eXdVDhOGqoE?si=AJbDIDNnHjV_qMM1,Outros,,2024-11-29 00:57:00,Luiz Peixoto
"Bom dia, quem já usou o ADAPTA? O que acharam?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 06:38:00,Paulo Carlos Adv
https://mammouth.ai/pricing  oferece o mesmo por menos preço.,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-11-29 10:59:00,Luiz Peixoto
Prefiro o inner,Outros,,2024-11-29 11:03:00,Viny Campos
escala bem maior e mais barato,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-11-29 11:03:00,Viny Campos
"É sempre bom ter dedundância nesses sistemas. Não dá para colocar todos os dados em uma plataforma só. Se a plataforma acaba, você perde tudo.",Ferramentas e Plataformas,Geral,2024-11-29 11:51:00,Luiz Peixoto
Não vai acabar do dia pra noite,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 11:51:00,Viny Campos
Olá pessoal - Leo Toco por aqui.,Outros,,2024-11-29 11:53:00,Leo Toco
"A taxa de mortalidade das startups é alarmantemente alta, com várias estatísticas indicando que a maioria delas não sobrevive por muito tempo. ",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 11:53:00,Luiz Peixoto
O uso médio das pessoas é baixo.,Outros,,2024-11-29 11:55:00,Leo Toco
A tese da Inner me parece ser na que o usuário usa pouco. ,Outros,,2024-11-29 11:56:00,Leo Toco
Ou seja - arriscado sobretudo para quem pensa em usar bastante no dia a dia,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 11:56:00,Leo Toco
Na minha humilde opinião o foco não deveria ser economizar os 20 dolares e sim gerar 100x mais $ com os 20 dolares investidos,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 11:57:00,Leo Toco
Tenho conhecimento,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica",2024-11-29 11:57:00,Viny Campos
O problema é o orçamento,Código Aberto e Custo,Custo e Viabilidade Econômica,2024-11-29 11:58:00,Viny Campos
"Posso te dar um exemplo, vão remover a função de áudio dentro da plataforma pelo alto custo não compensar a quantidade usuários que utilizam",Ferramentas e Plataformas,Geral,2024-11-29 11:58:00,Viny Campos
"mas se não tem atividade para mandar pra IA, mesmo a Inner é cara",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 11:59:00,Leo Toco
"Fundamental entender que ninguém vai depender só de uma plataforma para fazer as coisas, o uso acaba sendo ramificado",Ferramentas e Plataformas,Geral,2024-11-29 11:59:00,Viny Campos
Não entendi o ponto,Outros,,2024-11-29 11:59:00,Viny Campos
"Prazer, já nos conhecemos em outros grupos que estamos inseridos! Seja bem vindo!",Outros,,2024-11-29 17:06:00,Paulo Carlos Adv
Obrigado!,Outros,,2024-11-29 17:55:00,Leo Toco
Correria da vida mas espero conseguir contribuir mais por aqui,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-11-29 17:55:00,Leo Toco
"Pesssoal, ",Outros,,2024-12-12 04:30:00,Luiz Peixoto
Gostei!,Outros,,2024-12-12 08:57:00,Paulo Carlos Adv
Vai melhorar. Vou automatizar com agentes com crewai,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-12 08:59:00,Luiz Peixoto
"E depois que o código estiver pronto, com o Claude desktop vamos pedir um módulo destes com o tema que quisermos, por exemplo: direito constitucional adpfs direito bancário e direito do consumidor, prepare um módulo de estudo, exporte para pdf e envie pelo whatsapp para meus grupos de estudos",Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 09:01:00,Luiz Peixoto
"O Crewai precisa de conhecimento em TI, tenho assistido algumas aulas",Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica",2024-12-12 09:02:00,Paulo Carlos Adv
"Um pouco. Com o Cursor, um pouquinho só de Python",Ferramentas e Plataformas,IDEs com LLM,2024-12-12 09:03:00,Luiz Peixoto
Maravilha lerei com calma,Outros,,2024-12-12 09:03:00,PNe 1vc_pnz
Até assisti uma aula sobre Python mas precisa se dedicar um pouco para entender a linguagem,Ferramentas e Plataformas,Código e Bibliotecas,2024-12-12 09:05:00,Paulo Carlos Adv
"Tem uma curva de aprendizado, mas ela diminuiu bastante",Outros,,2024-12-12 09:08:00,Luiz Peixoto
"Aí fica puxado, entendo um pouco do tema, mas bem por cima",Outros,,2024-12-12 09:09:00,Viny Campos
"Não se preocupe; se já começou, apenas continue a marcha. Um pouco de cada vez",Outros,,2024-12-12 09:11:00,Luiz Peixoto
Bom dia!!,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-12 09:42:00,Renan Aguiar
Muito bom!,Outros,,2024-12-12 09:42:00,Renan Aguiar
Vou testar. Ter o controle das fontes é essencial.,Ferramentas e Plataformas,Zotero,2024-12-12 09:43:00,Renan Aguiar
Salve meu amigo!,Outros,,2024-12-12 10:28:00,Luiz Peixoto
*consegui fazer um em português*. A voz feminina representa o que a AI aprendeu com o algoritmo,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-12 11:04:00,Luiz Peixoto
Tá funcionando padrão ou fez algo pra fazer funcionar?,Outros,,2024-12-12 12:37:00,Viny Campos
"ah, isso foi uma hackeada no sistema que aprendi a fazer.  Mas o modelo Gemini Flash 2.0 lançado ontem já consegue ser multimodal nos dois sentidos. O que isso significa? Ele tem noção espacial, alguma coisa de reasoning, tem capacidade de ver re ""ouvir"" os sons; só que agora ele pode além de consultar a internet, responder com voz, textos e até filmes.  Ainda é o flash e o modelo completo sairá em daqui a pouco. Desconfio que depois que o GPT lançar sua nova versão completa, o Sora é um exemplo.  Mas estou mais com os modelos mais simples e de baixo custo.  Os de engenharia aberta possibilitam maior  controle dos algoritmos como é o exemplo do estudo de caso que apresentei a pouco.",Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 13:09:00,Luiz Peixoto
Utilizei o Perplexity para a pesquisa inicial de contexto.,Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 13:09:00,Luiz Peixoto
‎IMG-20241212-WA0010.jpg (arquivo anexado),Outros,,2024-12-12 13:15:00,Luiz Peixoto
"Na segunda parte, utilzei o DeepSeek-R1 - gratuita porém com janela de contexto mais reduzido. O que me impôs o desavio de criar loops para um algoritmo que fosse consistente e pudesse ser reproduzido para partes diferentes do conteúdo gerado.",Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 13:15:00,Luiz Peixoto
O que me economizou os 200 dolares por mês do custo da versão full do GPT,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-12-12 13:16:00,Luiz Peixoto
Eu tenho a versão pro do perplexity,Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 13:17:00,Caio Simon
Já os modelos da Antropic vão entrar na próxima etapa ,Outros,,2024-12-12 13:18:00,Luiz Peixoto
Quem é cliente vivo tem a promoção de 1 ano grátis da perplexity,Ferramentas e Plataformas,LLMs e Modelos,2024-12-12 13:18:00,Caio Simon
"É excelente, uso a todo momento.  Ele vai entrar depois",Outros,,2024-12-12 13:19:00,Luiz Peixoto
Os da antropic vão  ajudar na parte do código e na criação dos agentes.  A ideia é que cada processo seja documentado com os algoritmos e gerem uma avaliação e o self-learning e self-improuvment.  Claro que esse self é supervisionado.  Ai é que nós entramos forte com as discussões e avaliações.,Ferramentas e Plataformas,Código e Bibliotecas,2024-12-12 13:21:00,Luiz Peixoto
"Vou esperar uns dias e ler essa primeira parte da bibliografia para checar os resultados e fazer uma avaliação minuciosa. Talvez expandir um pouco.  Enquanto isso vou tentar entrar em contato com Matthew Berman, Joao Moura,  Daniel Miessler que são caras que me inspiram bastante, por isso deixei os textos em inglês e português. Berman é um cara de visão e está inteirado e informa com muita precisão sobre todos os testes comparativos e tecnologias, está desenvolvendo algo muito parecido com esse algoritmo que apresentei para vocês, com quem? Com o João que é o nosso brazuca criador do crew ai. O Miessler é o cara  que inspirou muito meu trabalho recente, com o fabric. Os prompts do cara são simplesmente incríveis.  Não só pelo resultado, mas porque são transparentes e você aprende muito se entender o processo.  Todos alinhados com a visão de opensource e também de formação e treinamento.  São uma espécie de super astros no youtube, mas quem sabe eu não consiga chegar a eles.  Vou pedir ajuda na fase de criação e apresentar o trabalho.  Mas mesmo que não consiga, estou seguindo de pertinho o desenvolvimento que estão fazendo.",Ferramentas e Plataformas,Zotero,2024-12-12 13:30:00,Luiz Peixoto
https://youtu.be/Aq3CEjUxFxU?si=yWzg9hdXmjTIFPHR,Outros,,2024-12-12 13:34:00,Luiz Peixoto
https://youtu.be/YX09aXcFpkA?si=BmAXn8mZ0PmrGwro,Outros,,2024-12-12 13:34:00,Luiz Peixoto
https://youtu.be/twzgEBabOBk?si=ywqKyQwd4sR5cuyt,Outros,,2024-12-12 13:35:00,Luiz Peixoto
https://youtu.be/nTQIYWgn-lQ?si=oO25rLZe7pMMpFvA,Outros,,2024-12-12 13:38:00,Luiz Peixoto
"E claro, tem também o Sandeco",Outros,,2024-12-12 13:40:00,Luiz Peixoto
"Eu já uso essa IA, mas gratuita, preciso explorar mais essa ferramenta para extrair o melhor dela <Mensagem editada>",Ferramentas e Plataformas,Geral,2024-12-12 14:55:00,Paulo Carlos Adv
Eu também. Um pouquinho a cada dia,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-12 16:38:00,Luiz Peixoto
"Esse negócio tira o sono, se não tiver cuidado, adoece",Outros,,2024-12-12 16:39:00,Luiz Peixoto
"Todos os dias fico aqui no computador estudando sobre Inteligência Artigicial, tira o sono, tem sempre algo novo e mais potente. Quase não desligo disso. Mas para área do direito preciso aprender muito, está sendo um software muito avançado essas ferramentas com esses logaritmos. <Mensagem editada>",Ferramentas e Plataformas,Geral,2024-12-12 16:46:00,Paulo Carlos Adv
Assunto para estarmos atentos nas possíveis discussões sobre direitos autorais de conteúdo produzido pela IA. ,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-12 19:51:00,Paulo Carlos Adv
@5511960285788 Sensacional esse arquivo.  Levanto algumas questões adicionais: ,Outros,,2024-12-13 07:11:00,Luiz Peixoto
"Boa tarde, @5521969191621 ! Realmente um bom texto para discussão.",Outros,,2024-12-13 12:47:00,Paulo Carlos Adv
Tenho alguns exemplos relativos a direitos autorais,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA",2024-12-13 12:48:00,Luiz Peixoto
‎Luiz Peixoto.vcf (arquivo anexado),Outros,,2024-12-13 16:58:00,PNe 1vc_pnz
Acabo de receber um convite. ,Outros,,2024-12-13 18:21:00,Luiz Peixoto
‎IMG-20241214-WA0005.jpg (arquivo anexado),Outros,,2024-12-14 08:09:00,Luiz Peixoto
https://www.youtube.com/live/TRl5ulEsEdY?si=HdgvzJ7qTCCe4Rgz,Outros,,2024-12-15 17:31:00,Luiz Peixoto
https://youtu.be/AFurCSh1APU?si=yFb2aG91jhjPx5CC,Outros,,2024-12-15 17:37:00,Luiz Peixoto
Obrigado por avisar,Outros,,2024-12-16 00:51:00,Luiz Peixoto
Não sei como foi ativado,Outros,,2024-12-16 00:51:00,Luiz Peixoto
Vou verificar a api,Ferramentas e Plataformas,Código e Bibliotecas,2024-12-16 00:51:00,Luiz Peixoto
Essa atualização do chrome está muito estranha,Outros,,2024-12-16 00:53:00,Luiz Peixoto
Sim,Outros,,2024-12-16 00:59:00,Viny Campos
https://www.youtube.com/live/np89NA3bWIA?si=bw74G6OZ-ZL-9d_2,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-12-17 00:45:00,Luiz Peixoto
Mais varas de pescar.,Outros,,2024-12-17 07:00:00,Luiz Peixoto
"Parece que David Ondrej conseguiu automatizar a tradução de seus vídeos. Existem também os vídeos em sua versão original, que, pessoalmente, prefiro. No entanto, assistir a esse, mesmo com sua tradução mecânica e acelerada, pode oferecer uma ideia do processo. É melhor assistir a algo que não entendemos do que buscar referências sobre algo que nunca ouvimos falar. <Mensagem editada>",Ferramentas e Plataformas,Zotero,2024-12-17 07:02:00,Luiz Peixoto
‎IMG-20241217-WA0007.jpg (arquivo anexado),Outros,,2024-12-17 08:07:00,Luiz Peixoto
Fiz um teste com um novo modelo da Google que assiste filmes e gera anotações super detalhadas. Tô usando o Obsidian pra organizar tudo isso,Ferramentas e Plataformas,Obsidian,2024-12-17 08:43:00,Luiz Peixoto
"Maria, IA do STF",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial,2024-12-17 09:42:00,Paulo Carlos Adv
‎VID-20241217-WA0013.mp4 (arquivo anexado),Outros,,2024-12-17 09:42:00,Paulo Carlos Adv
Vamos fazer a nosso que rode localmente?,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura,2024-12-17 12:05:00,Luiz Peixoto
Muito legal,Outros,,2024-12-17 12:08:00,Luiz Peixoto
"Já tenho os primos que fazem a mesma ementa, que fazem a classificação decimal do direito e que analisam as pesquisas prontas. Falta o fining tunning e hospedar em um hardware de baixo custo com llm opensource para dar acesso a todos os advogados. Tudo open source com manuais para todos montarem com baixo custo",Ferramentas e Plataformas,LLMs e Modelos,2024-12-17 12:10:00,Luiz Peixoto
Precisamos marcar uma reunião para dividirmos as tarefas e começar pelo simples,Outros,,2024-12-17 12:11:00,Luiz Peixoto
